firm_name,hat_theta_f,s_f,p_f,q_f,hat_theta_f_star
Genuine Parts (Napa Auto),0.09817050169747263,0.020479733950407294,8.193033166348229e-07,3.113352603212327e-05,0.05198908816113706
AutoNation,0.052666984480110174,0.014999760759365757,0.00022305414124668133,0.004238028683686945,0.03862009099636225
Advance Auto Parts,0.07396095340759373,0.022225894416321803,0.00043784153420911576,0.0055459927666488,0.04024947455144105
O'Reilly Automotive,0.07870053489492232,0.024413389542846158,0.0006328117458431759,0.00601171158551017,0.03953827845936944
Rite Aid,0.046957123098201936,0.016193580250353813,0.0018673796770263262,0.011826737954500066,0.0344680553413099
Ascena (Ann Taylor / Loft),0.06779661016949151,0.02293426647683005,0.00155764264982583,0.011838084138676307,0.03734672240133115
Gap,0.0522088353413655,0.01876680031701505,0.0027014308071228177,0.014664910095809584,0.03489680441732623
Dick's,0.05056468172484602,0.02062806141021476,0.007117911821911682,0.015026702735146884,0.032811987992363796
Murphy USA,0.04899177031354729,0.01993198821047709,0.006986690017920627,0.015617307098881402,0.03264853268177834
Dillard's,0.04546432044281551,0.016804359667069176,0.003410005819315498,0.016197527641748616,0.03324600566561914
Tractor Supply,0.03991687358307244,0.016215610752306747,0.006915316059371124,0.01642387564100642,0.0308171934139681
AutoZone,0.05399999999999999,0.021560436324583807,0.006129713324369956,0.01663779330900417,0.033487090449120724
TJX,0.04786836200448763,0.019305465634162952,0.0065778970257824865,0.016664005798648966,0.03260039316756315
Bed Bath & Beyond,0.04008016032064132,0.01598089307224026,0.00607074681931663,0.017745259933387075,0.031039521494841377
Pizza Hut,0.055999999999999994,0.022165976902266404,0.005762001316159893,0.01824633750117299,0.03378924794484186
VFC (North Face / Vans),0.0375399565272983,0.014495639912624977,0.004802404892467638,0.018249138591377022,0.030503409814686556
Pilot Flying J,0.0603748326639893,0.023895520908131553,0.005758348757028631,0.01989247752428072,0.03404401543337404
Walgreens,0.061017080145297165,0.02351947261176839,0.004738886776885609,0.02000863305796146,0.034536664424693796
Universal Health,0.05460750853242319,0.024459087758681424,0.012787465741870951,0.02429618490955481,0.03180237893835163
Sherwin-Williams,0.034693877551020436,0.015462723217872752,0.012425510575204468,0.024851021150408936,0.02844349116719764
Bath & Body Works,0.04040404040404039,0.018461162210342188,0.014313079573540555,0.025899858275930526,0.02982070598726498
Olive Garden,0.03400000000000003,0.01590683734447062,0.01628088164573882,0.02812152284263978,0.027887289330242343
J.C. Penney,0.030181086519114664,0.01581007833045782,0.028132486061459905,0.04454310293064485,0.02590737250426024
Nationwide,0.026083932297704608,0.013544566207201281,0.027065567105096333,0.044717023912767856,0.024117949859116777
Dollar General,0.03945957815063095,0.021648678423410825,0.034172558254390695,0.048094711617290606,0.027980927955755897
Publix,0.04700225689333726,0.025606962023374764,0.033213859560435766,0.04854333320371381,0.028868005193379828
Marriott,0.02983815426997244,0.016855517379905326,0.038344358845705306,0.048569521204560054,0.025446993982962934
Republic Services,0.019522113066321206,0.011013843591358447,0.038155230702215825,0.04999650919600694,0.020002463103084733
